Names,Age,Total_Purchase,Account_Manager,Years,Num_Sites,Churn
Cameron Williams,42.0,11066.8,0,7.22,8.0,1
Kevin Mueller,41.0,11916.22,0,6.5,11.0,1
Eric Lozano,38.0,12884.75,0,6.67,12.0,1
Phillip White,42.0,8010.76,0,6.71,10.0,1
Cynthia Norton,37.0,9191.58,0,5.56,9.0,1
Jessica Williams,48.0,10356.02,0,5.12,8.0,1
Eric Butler,44.0,11331.58,1,5.23,11.0,1
Zachary Walsh,32.0,9885.12,1,6.92,9.0,1
Ashlee Carr,43.0,14062.6,1,5.46,11.0,1
Jennifer Lynch,40.0,8066.94,1,7.11,11.0,1
Paula Harris,30.0,11575.37,1,5.22,8.0,1
Bruce Phillips,45.0,8771.02,1,6.64,11.0,1
Craig Garner,45.0,8988.67,1,4.84,11.0,1
Nicole Olson,40.0,8283.32,1,5.1,13.0,1
Harold Griffin,41.0,6569.87,1,4.3,11.0,1
James Wright,38.0,10494.82,1,6.81,12.0,1
Doris Wilkins,45.0,8213.41,1,7.35,11.0,1
Katherine Carpenter,43.0,11226.88,0,8.08,12.0,1
Lindsay Martin,53.0,5515.09,0,6.85,8.0,1
Kathy Curry,46.0,8046.4,1,5.69,8.0,1
Dean Miller,41.0,9771.22,0,5.81,11.0,1
Kevin Ramos,56.0,12217.95,1,5.79,11.0,1
Jennifer Wood,35.0,9381.12,1,6.78,11.0,1
Paul Walker,41.0,10474.94,0,6.4,12.0,1
Lindsey Day,55.0,11158.5,1,4.86,10.0,1
Steven Hernandez,54.0,8207.1,0,4.26,11.0,1
Danielle Kirk,35.0,12403.81,0,4.42,11.0,1
Troy Oliver,40.0,10041.13,0,7.61,11.0,1
Darlene Evans,44.0,12721.55,0,5.18,11.0,1
Mrs. Sarah Morales,37.0,8284.89,1,5.6,10.0,1
Laura Pierce,54.0,10661.48,1,5.16,8.0,1
Carla Ball,45.0,10793.11,1,4.65,10.0,1
Robert Hill,46.0,9322.44,1,2.69,11.0,1
Joseph Harrell,44.0,9814.22,1,5.45,12.0,1
Tammy Shepherd,48.0,11740.0,1,4.97,11.0,1
Kelly Carroll,37.0,14383.36,0,7.84,10.0,1
Heidi Munoz,38.0,11887.39,0,5.83,12.0,1
Thomas Sawyer,48.0,10367.08,1,6.45,12.0,1
Erin Rivera,37.0,8198.06,1,5.04,12.0,1
Raymond Berry,41.0,7777.37,0,4.81,12.0,1
Patrick Bell,41.0,11699.26,0,6.99,12.0,1
Jason Jones MD,55.0,16838.94,1,6.66,8.0,1
Jermaine Johnson,36.0,10484.33,1,8.84,10.0,1
George Archer,37.0,8736.06,1,5.51,12.0,1
Richard Fields,50.0,10850.78,1,5.63,9.0,1
Amanda Roberts,43.0,8601.01,0,5.65,12.0,1
David Kennedy,45.0,11170.06,1,7.76,10.0,1
Adam Waters,40.0,11185.62,0,6.26,12.0,1
Patricia Elliott,36.0,9793.42,0,5.98,9.0,1
Summer Haley,43.0,12524.68,0,5.98,10.0,1
Brittany Jackson,50.0,12682.9,0,4.58,10.0,1
Shawn Chavez,44.0,14036.28,1,7.25,10.0,1
Laura Fleming,41.0,10179.92,1,5.97,10.0,1
Marcus Garza,46.0,12772.72,1,6.46,9.0,1
Heather Murphy,46.0,12122.19,0,7.53,11.0,1
Jeffrey Hill,40.0,9922.3,1,5.07,11.0,1
Amy Griffin,48.0,4771.65,0,3.77,12.0,1
Michelle Hill,42.0,10827.96,1,4.2,10.0,1
David Rodriguez,38.0,8642.01,1,4.76,11.0,1
Daniel Bartlett,45.0,6749.49,0,5.88,14.0,1
Cheyenne Rogers,36.0,6447.99,1,5.52,11.0,1
Seth Lopez,44.0,11091.21,0,5.9,10.0,1
Brittany Hopkins,55.0,5024.52,0,8.11,9.0,1
Carla Patterson,58.0,12376.37,0,6.01,12.0,1
Michelle Holloway,49.0,12458.8,0,5.04,9.0,1
Kenneth Bryant,47.0,7222.35,0,6.41,11.0,1
Cody Williams,38.0,11758.69,0,6.97,11.0,1
Lori Ross,55.0,8772.0,1,6.43,10.0,1
David Montes,45.0,7351.38,0,5.76,11.0,1
Robin Rowe,30.0,7960.64,1,2.72,10.0,1
Amber Spears,41.0,13365.66,1,8.36,9.0,1
Kathy Johnson,32.0,8617.98,1,6.2,10.0,1
Thomas Rose,52.0,11849.13,0,6.8,11.0,1
Sandra Williams,37.0,11145.95,1,5.87,11.0,1
Nathan Murphy,42.0,9577.42,0,5.86,11.0,1
